name,brand,price,description
['Nokia C2 2nd Edition- Blue'],['Brand:                Nokia'],"['4,599৳']",[]
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['4,599৳']",[nan]
['Nokia C2 2nd Edition- Blue'],['Brand:                Nokia'],"['4,599৳']",[]
['Nokia C2 2nd Edition- Blue'],['Brand:                Nokia'],"['4,599৳']",[]
['Nokia 1.4 3GB/64GB'],['Brand:                Nokia'],"['7,999৳']",[]
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['4,599৳']",[nan]
['Tecno Spark 20 8GB/256GB'],['Brand:                TECNO'],"['15,799৳']","['Design: Minimalist Square Shape with Metallic 3-Ring Design and Glass-like Textured Coating', 'OS: Android 13', 'Processor: MediaTek G85', 'CPU: Arm Cortex-A75 | 2000 MHz Peak Frequency', 'RAM: 8GB (Up to 16GB using Memory Fusion)', 'ROM: 256GB', 'Network: 2G/3G/4G', 'SIM Card: Dual Nano SIM', 'Display: 6.56″ HD+ 90hz Hole Screen with Dynamic Port (Displays messages, call duration, charging information through front display hole)', 'Display Features: 720*1612 pixels | 90% Screen-to-Body Ratio', 'Rear Camera: 50MP HDR Ultra Clear Camera with Dual Flash', 'Mechanism: 50MP+AI-Cam (F/1.6 Large Aperture, Super Night Mode, 3 Modes Flash)', 'Front Camera: 32MP Dual Flash Selfie Camera', 'Battery: Li-Po 5000mah, Non-Removable | 18W Fast Charge | Type-C Port', 'Connectivity: Wi-Fi (2.4+5GHz) | Bluetooth v5.2 | GNSS | FM', 'Dimension: 163.69 x 75.6 x 8.45 mm', 'Audio: Dual Stereo Speakers with DTS | Audio Booster for Calls | Volume Plus', 'Sensor: Ambient Light, G-Sensor, E-Compass, Proximity Sensor, Virtual Gyroscope, Fingerprint Sensor (Side–Mounted)']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['15,799৳']",[nan]
['Tecno Spark 20 8GB/256GB'],['Brand:                TECNO'],"['15,799৳']","['Design: Minimalist Square Shape with Metallic 3-Ring Design and Glass-like Textured Coating', 'OS: Android 13', 'Processor: MediaTek G85', 'CPU: Arm Cortex-A75 | 2000 MHz Peak Frequency', 'RAM: 8GB (Up to 16GB using Memory Fusion)', 'ROM: 256GB', 'Network: 2G/3G/4G', 'SIM Card: Dual Nano SIM', 'Display: 6.56″ HD+ 90hz Hole Screen with Dynamic Port (Displays messages, call duration, charging information through front display hole)', 'Display Features: 720*1612 pixels | 90% Screen-to-Body Ratio', 'Rear Camera: 50MP HDR Ultra Clear Camera with Dual Flash', 'Mechanism: 50MP+AI-Cam (F/1.6 Large Aperture, Super Night Mode, 3 Modes Flash)', 'Front Camera: 32MP Dual Flash Selfie Camera', 'Battery: Li-Po 5000mah, Non-Removable | 18W Fast Charge | Type-C Port', 'Connectivity: Wi-Fi (2.4+5GHz) | Bluetooth v5.2 | GNSS | FM', 'Dimension: 163.69 x 75.6 x 8.45 mm', 'Audio: Dual Stereo Speakers with DTS | Audio Booster for Calls | Volume Plus', 'Sensor: Ambient Light, G-Sensor, E-Compass, Proximity Sensor, Virtual Gyroscope, Fingerprint Sensor (Side–Mounted)']"
['Tecno Spark 20 8GB/256GB'],['Brand:                TECNO'],"['15,799৳']","['Design: Minimalist Square Shape with Metallic 3-Ring Design and Glass-like Textured Coating', 'OS: Android 13', 'Processor: MediaTek G85', 'CPU: Arm Cortex-A75 | 2000 MHz Peak Frequency', 'RAM: 8GB (Up to 16GB using Memory Fusion)', 'ROM: 256GB', 'Network: 2G/3G/4G', 'SIM Card: Dual Nano SIM', 'Display: 6.56″ HD+ 90hz Hole Screen with Dynamic Port (Displays messages, call duration, charging information through front display hole)', 'Display Features: 720*1612 pixels | 90% Screen-to-Body Ratio', 'Rear Camera: 50MP HDR Ultra Clear Camera with Dual Flash', 'Mechanism: 50MP+AI-Cam (F/1.6 Large Aperture, Super Night Mode, 3 Modes Flash)', 'Front Camera: 32MP Dual Flash Selfie Camera', 'Battery: Li-Po 5000mah, Non-Removable | 18W Fast Charge | Type-C Port', 'Connectivity: Wi-Fi (2.4+5GHz) | Bluetooth v5.2 | GNSS | FM', 'Dimension: 163.69 x 75.6 x 8.45 mm', 'Audio: Dual Stereo Speakers with DTS | Audio Booster for Calls | Volume Plus', 'Sensor: Ambient Light, G-Sensor, E-Compass, Proximity Sensor, Virtual Gyroscope, Fingerprint Sensor (Side–Mounted)']"
